Ticker,Name,Sector,Industry
UBSI,UNITED BANKSHARES INC,Financials,Banks
UCB,UNITED COMMUNITY BANKS INC,Financials,Banks
UCTT,ULTRA CLEAN HOLDINGS INC,Information Technology,Semiconductors & Semiconductor Equipment
UDMY,UDEMY INC,Consumer Discretionary,undefined
UE,URBAN EDGE PROPERTIES,Real Estate,Equity Real Estate Investment Trusts (REITs)
UEC,URANIUM ENERGY CORP,Energy,Metals & Mining
UFCS,UNITED FIRE GROUP INC,Financials,Insurance
UFPI,UFP INDUSTRIES INC,Industrials,Paper & Forest Products
UFPT,UFP TECHNOLOGIES INC,Health Care,Distributors
UHT,UNIVERSAL HEALTH REALTY INCOME TRU,Real Estate,Equity Real Estate Investment Trusts (REITs)
UIS,UNISYS CORP,Information Technology,IT Services
ULCC,FRONTIER GROUP HOLDINGS INC,Industrials,Airlines
ULH,UNIVERSAL LOGISTICS HOLDINGS INC,Industrials,Transportation Infrastructure
UMBF,UMB FINANCIAL CORP,Financials,Banks
UMH,UMH PROPERTIES INC,Real Estate,Equity Real Estate Investment Trusts (REITs)
UNB,UNION BANKSHARES INC,Financials,Banks
UNF,UNIFIRST CORP,Industrials,Professional Services
UNFI,UNITED NATURAL FOODS INC,Consumer Staples,Food & Staples Retailing
UNIT,UNITI GROUP INC,Communication,Equity Real Estate Investment Trusts (REITs)
UNTY,UNITY BANCORP INC,Financials,Banks
UPB,UPSTREAM BIO INC,Health Care,undefined
UPBD,UPBOUND GROUP INC,Consumer Discretionary,Software
UPST,UPSTART HOLDINGS INC,Financials,Consumer Finance
UPWK,UPWORK INC,Industrials,Professional Services
URBN,URBAN OUTFITTERS INC,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
URGN,UROGEN PHARMA LTD,Health Care,Biotechnology
USAR,USA RARE EARTH INC CLASS A,Materials,Metals & Mining
USAU,US GOLD CORP,Materials,Metals & Mining
USCB,USCB FINANCIAL HOLDINGS INC CLASS,Financials,Banks
USGO,US GOLDMINING INC,Materials,Metals & Mining
USLM,UNITED STATES LIME AND MINERALS IN,Materials,Construction Materials
USNA,USANA HEALTH SCIENCES INC,Consumer Staples,Household Products
USPH,US PHYSICAL THERAPY INC,Health Care,Health Care Equipment & Supplies
UTI,UNIVERSAL TECHNICAL INSTITUTE INC,Consumer Discretionary,Household Products
UTL,UNITIL CORP,Utilities,Multi-Utilities
UTMD,UTAH MEDICAL PRODUCTS INC,Health Care,Health Care Equipment & Supplies
UTZ,UTZ BRANDS INC CLASS A,Consumer Staples,Food & Staples Retailing
UUUU,ENERGY FUELS INC,Energy,Metals & Mining
UVE,UNIVERSAL INSURANCE HOLDINGS INC,Financials,Insurance
UVSP,UNIVEST FINANCIAL CORP,Financials,Banks
UVV,UNIVERSAL CORP,Consumer Staples,Tobacco
VABK,VIRGINIA NATIONAL BANKSHARES CORP,Financials,Banks
VAC,MARRIOTT VACATIONS WORLDWIDE CORP,Consumer Discretionary,"Hotels, Restaurants & Leisure"
VAL,VALARIS LTD,Energy,"Oil, Gas & Consumable Fuels"
VALU,VALUE LINE INC,Financials,Capital Markets
VC,VISTEON CORP,Consumer Discretionary,Auto Components
VCEL,VERICEL CORP,Health Care,Biotechnology
VCTR,VICTORY CAPITAL HOLDINGS CLASS A I,Financials,Capital Markets
VCYT,VERACYTE INC,Health Care,Biotechnology
VECO,VEECO INSTRUMENTS INC,Information Technology,Semiconductors & Semiconductor Equipment
VEL,VELOCITY FINANCIAL INC,Financials,Thrifts & Mortgage Finance
VERA,VERA THERAPEUTICS INC CLASS A,Health Care,undefined
VERX,VERTEX INC CLASS A,Information Technology,Software
VGAS,VERDE CLEAN FUELS INC CLASS A,Energy,Electric Utilities
VHI,VALHI INC,Materials,Chemicals
VIA,VIA TRANSPORTATION INC CLASS A,Information Technology,Electric Utilities
VIAV,VIAVI SOLUTIONS INC,Information Technology,Communications Equipment
VICR,VICOR CORP,Industrials,"Electronic Equipment, Instruments & Components"
VIR,VIR BIOTECHNOLOGY INC,Health Care,Biotechnology
VIRC,VIRCO MANUFACTURING CORP,Industrials,Household Durables
VISN,VISTANCE NETWORKS INC,Information Technology,Communications Equipment
VITL,VITAL FARMS INC,Consumer Staples,Household Products
VLGEA,VILLAGE SUPER MARKET INC CLASS A,Consumer Staples,Food & Staples Retailing
VLY,VALLEY NATIONAL,Financials,Banks
VMD,VIEMED HEALTHCARE INC,Health Care,Health Care Technology
VNDA,VANDA PHARMACEUTICALS INC,Health Care,Biotechnology
VOXR,VOX ROYALTY CORP,Materials,undefined
VOYG,VOYAGER TECHNOLOGIES INC CLASS A,Industrials,Aerospace & Defense
VPG,VISHAY PRECISION GROUP INC,Information Technology,"Electronic Equipment, Instruments & Components"
VRDN,VIRIDIAN THERAPEUTICS ORS INC,Health Care,Biotechnology
VRE,VERIS RESIDENTIAL INC,Real Estate,Equity Real Estate Investment Trusts (REITs)
VREX,VAREX IMAGING CORP,Health Care,Health Care Technology
VRM,VROOM INC,Financials,Automobiles
VRNS,VARONIS SYSTEMS INC,Information Technology,Software
VRRM,VERRA MOBILITY CORP CLASS A,Industrials,Professional Services
VRTS,VIRTUS INVESTMENT PARTNERS INC,Financials,Capital Markets
VSAT,VIASAT INC,Information Technology,Communications Equipment
VSCO,VICTORIA S SECRET,Consumer Discretionary,undefined
VSEC,VSE CORP,Industrials,Aerospace & Defense
VSH,VISHAY INTERTECHNOLOGY INC,Information Technology,Semiconductors & Semiconductor Equipment
VSTM,VERASTEM INC,Health Care,Software
VSTS,VESTIS CORP,Industrials,undefined
VTEX,VTEX CLASS A,Information Technology,Software
VTOL,BRISTOW GROUP INC,Energy,Energy Equipment & Services
VTS,VITESSE ENERGY INC,Energy,"Oil, Gas & Consumable Fuels"
VUZI,VUZIX CORP,Information Technology,Software
VVX,V2X INC,Industrials,undefined
VYGR,VOYAGER THERAPEUTICS INC,Health Care,Biotechnology
VYX,NCR VOYIX CORP,Information Technology,undefined
WABC,WESTAMERICA BANCORPORATION,Financials,Banks
WAFD,WAFD INC,Financials,Banks
WALD,WALDENCAST PLC CLASS A,Consumer Staples,Diversified Financial Services
WASH,WASHINGTON TRUST BANCORP INC,Financials,Banks
WAY,WAYSTAR HOLDING CORP,Health Care,undefined
WBTN,WEBTOON ENTERTAINMENT INC,Communication,undefined
WD,WALKER & DUNLOP INC,Financials,Thrifts & Mortgage Finance
WDFC,WD-40,Consumer Staples,Chemicals
WEAV,WEAVE COMMUNICATIONS INC,Information Technology,Software
WERN,WERNER ENTERPRISES INC,Industrials,Transportation Infrastructure
WEST,WESTROCK COFFEE,Consumer Staples,Food & Staples Retailing
WEYS,WEYCO GROUP INC,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
WGO,WINNEBAGO INDUSTRIES INC,Consumer Discretionary,Automobiles
WGS,GENEDX HOLDINGS CORP CLASS A,Health Care,Software
WHD,CACTUS INC CLASS A,Energy,Energy Equipment & Services
WHG,WESTWOOD HOLDINGS GROUP INC,Financials,Diversified Financial Services
WINA,WINMARK CORP,Consumer Discretionary,Specialty Retail
WK,WORKIVA INC CLASS A,Information Technology,Software
WKC,WORLD KINECT CORP,Energy,undefined
WLDN,WILLDAN GROUP INC,Industrials,Construction & Engineering
WLFC,WILLIS LEASE FINANCE CORP,Industrials,Commercial Services & Supplies
WLTH,WEALTHFRONT CORP,Financials,Consumer Finance
WLY,JOHN WILEY AND SONS INC CLASS A,Communication,Diversified Telecommunication Services
WMK,WEIS MARKETS INC,Consumer Staples,Food & Staples Retailing
WNC,WABASH NATIONAL CORP,Industrials,Machinery
WNEB,WESTERN NEW ENGLAND BANCORP INC,Financials,Banks
WOOF,PETCO HEALTH AND WELLNESS COMPANY,Consumer Discretionary,Specialty Retail
WOR,WORTHINGTON ENTERPRISES INC,Industrials,Building Products
WRBY,WARBY PARKER INC CLASS A,Consumer Discretionary,Health Care Equipment & Supplies
WRLD,WORLD ACCEPTANCE CORP,Financials,Consumer Finance
WS,WORTHINGTON STEEL INC,Materials,undefined
WSBC,WESBANCO INC,Financials,Banks
WSBF,WATERSTONE FINANCIAL INC,Financials,Diversified Financial Services
WSFS,WSFS FINANCIAL CORP,Financials,Banks
WSR,WHITESTONE REIT,Real Estate,Diversified Financial Services
WT,WISDOMTREE INC,Financials,Capital Markets
WTBA,WEST BANCORPORATION INC,Financials,Banks
WTI,W AND T OFFSHORE INC,Energy,"Oil, Gas & Consumable Fuels"
WTS,WATTS WATER TECHNOLOGIES INC CLASS,Industrials,Machinery
WTTR,SELECT WATER SOLUTIONS INC CLASS A,Energy,Energy Equipment & Services
WULF,TERAWULF INC,Information Technology,Capital Markets
WVE,WAVE LIFE SCIENCES LTD,Health Care,Biotechnology
WWW,WOLVERINE WORLD WIDE INC,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
WYFI,WHITEFIBER INC,Information Technology,Consumer Finance
XENE,XENON PHARMACEUTICALS INC,Health Care,Biotechnology
XERS,XERIS BIOPHARMA HOLDINGS INC,Health Care,Biotechnology
XHR,XENIA HOTELS RESORTS REIT INC,Real Estate,Equity Real Estate Investment Trusts (REITs)
