Ticker,Name,Sector,Industry
TOM,Tomra,Industrial Goods and Services,Industrial Goods and Services
TOM,TomTom,Technology,Technology
TPG,Telecom Plus,Telecommunications,Telecommunications
TPK,Travis Perkins,Retail,Retail
TREL B,Trelleborg,Industrial Goods and Services,Industrial Goods and Services
TRN,Terna,Utilities,Utilities
TRYG,Tryg,Insurance,Insurance
TSCO,Tesco,Retail,Retail
TTE,TotalEnergies,Energy,Energy
TUI,TUI Group,Travel and Leisure,Travel and Leisure
UBI,Ubisoft,Consumer Products and Services,Consumer Products and Services
UBSG,UBS Group,Banks,Banks
UC,UniCredit,Banks,Banks
UHR,Swatch Group,Consumer Products and Services,Consumer Products and Services
ULVR,Unilever,"Personal Care, Drug and Grocery Stores","Personal Care, Drug and Grocery Stores"
ULVR,Unilever,"Personal Care, Drug and Grocery Stores","Personal Care, Drug and Grocery Stores"
UMG,Universal Music Group,Media,Media
UMI,Umicore,Chemicals,Chemicals
UN01,Uniper,Utilities,Utilities
UPM,UPM-Kymmene,Basic Resources,Basic Resources
UPM,UPM-Kymmene,Basic Resources,Basic Resources
UPW,United Utilities,Utilities,Utilities
URW,Unibail-Rodamco-Westfield,Real Estate,Real Estate
UTG,Unite Group,Real Estate,Real Estate
VACN,VAT Group,Industrial Goods and Services,Industrial Goods and Services
VALMT,Valmet,Industrial Goods and Services,Industrial Goods and Services
VAR1,Varta,Industrial Goods and Services,Industrial Goods and Services
VCT,Vicat,Construction and Materials,Construction and Materials
VER,Verbund,Utilities,Utilities
VESTAS,Vestas,Energy,Energy
VIE,Veolia,Utilities,Utilities
VIG,Vienna Insurance Group,Insurance,Insurance
VITR,Vitrolife,Health Care,Health Care
VIV,Vivendi,Media,Media
VIV,Vivendi,Media,Media
VK,Vallourec,Basic Resources,Basic Resources
VNA,Vonovia,Real Estate,Real Estate
VOD,Vodafone Group,Telecommunications,Telecommunications
VOD,Vodafone,Telecommunications,Telecommunications
VOE,Voestalpine,Basic Resources,Basic Resources
VOLV B,Volvo Group,Industrial Goods and Services,Industrial Goods and Services
VOLV B,Volvo Group,Industrial Goods and Services,Industrial Goods and Services
VPK,Vopak,Industrial Goods and Services,Industrial Goods and Services
VPLAY B,Viaplay,Media,Media
WDP,Warehouses De Pauw,Real Estate,Real Estate
WEIR,Weir Group,Industrial Goods and Services,Industrial Goods and Services
WEND,Wendel,Financial Services,Financial Services
WIE,Wienerberger,Construction and Materials,Construction and Materials
WIHL,Wihlborgs Fastigheter,Real Estate,Real Estate
WISE,Wise,Financial Services,Financial Services
WKL,Wolters Kluwer,Media,Media
WLN,Worldline,Industrial Goods and Services,Industrial Goods and Services
WPP,WPP,Media,Media
WTB,Whitbread,Travel and Leisure,Travel and Leisure
YAR,Yara International,Chemicals,Chemicals
ZAL,Zalando,Retail,Retail
ZURN,Zurich Insurance Group,Insurance,Insurance
